category,Company Name,Address,ZIP,City,Region,Country,Phone,Fax,E-mail,www,Services,Certification,Company certificate,Registration No.,Link to the certificate,Label,Surface,Founded,Contact person,Products to sell,Products to buy,Service provider for products,Company profile,
BABY FOOD,AGRANA STAERKE GMBH,Conrathstrasse 7,3950,"GMUEND 
										Show on map",Niederosterreich,AUSTRIA,+43  2852 5030,+43  2852 50319420,info.staerke@agrana.com,www.agrana.com,EXPORT,,,,,,,1988,,"BAKERY PRODUCTS, ADDITIVESREADY MADE MEALSFODDERBEVERAGES - NON ALCOHOLICBEVERAGES - ALCOHOLICCEREAL PRODUCTSBABY FOODFROZEN PRODUCTSEDIBLE PREPARATIONS & SPICESSUGAR & SWEATMEATS",,,,"Level of business relationship B2B Special strengths: GM-free and strong organic focusAGRANA processes and adds value to corn, potatoes and wheat to make a wide range of differentiated starch products. These are then supplied to the food and semiluxury food industry as well as to non-food industries such as the paper, textiles, cosmetics, bioplastics or construction material industry. We also produce bioethanol from corn and crops with a high starch content; this is then used as a petrol additive to make environmentally friendly fuel.AGRANA Starch GmbH oversees the Austrian starch business and coordinates the activities of the subsidiaries and holding companies in Hungary and Romania. In the Starch segment, we are active in Austria and Eastern Europe with a total of five production sites."
BABY FOOD,AGRANA STAERKE GMBH,Conrathstrasse 7,3950,"GMUEND 
										Show on map",Niederosterreich,AUSTRIA,+43  2852 5030,+43  2852 50319420,info.staerke@agrana.com,www.agrana.com,EXPORT,,,,,,,1988,,"BAKERY PRODUCTS, ADDITIVESREADY MADE MEALSFODDERBEVERAGES - NON ALCOHOLICBEVERAGES - ALCOHOLICCEREAL PRODUCTSBABY FOODFROZEN PRODUCTSEDIBLE PREPARATIONS & SPICESSUGAR & SWEATMEATS",,,,"Level of business relationship B2B Special strengths: GM-free and strong organic focusAGRANA processes and adds value to corn, potatoes and wheat to make a wide range of differentiated starch products. These are then supplied to the food and semiluxury food industry as well as to non-food industries such as the paper, textiles, cosmetics, bioplastics or construction material industry. We also produce bioethanol from corn and crops with a high starch content; this is then used as a petrol additive to make environmentally friendly fuel.AGRANA Starch GmbH oversees the Austrian starch business and coordinates the activities of the subsidiaries and holding companies in Hungary and Romania. In the Starch segment, we are active in Austria and Eastern Europe with a total of five production sites."
BABY FOOD,HOLLE BABY FOOD GMBH,Baselstrasse 11,4125,RIEHEN,Basel-Stadt,SWITZERLAND,+41  61 6459600,+41  61 6459609,babyfood@holle.ch,www.holle.ch,DISTRIBUTIONEXPORTPRODUCTION,DEMETER INTERNATIONAL E.V. - Companies certified by DEMETER INTERNATIONAL E.V. (68),,,www.bioc.info/de/suche.html?tx_bioc_pi1[action]=searchResult&tx_bioc_pi1[controller]=Operator,demeter,,,Mr. Peter Kropf,BABY FOODBABY FOOD > CEREAL PRODUCTSBABY FOOD > MILK PRODUCTS,,,,
BABY FOOD,LA CESENATE CONSERVE ALIMENTARI SPA,Via Cervese 364,47023,"CESENA 
										Show on map",EMILIA ROMAGNA - Forli,ITALY,+39  0547 631150,+39  0547 382010,dircom@lacesenate.it,www.lacesenate.it,BROKER TO WHOLESALERSDISTRIBUTIONEXPORTPRODUCTION,,,,,,,,Sirs Fabrizio Rosso,"BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICESBEVERAGES - NON ALCOHOLIC > VEGETABLE SAPSCANNED FOOD > VEGETABLES, PLANTS > TOMATOESEDIBLE PREPARATIONS & SPICES > SAUCESFRUIT PRODUCTSFRUIT PRODUCTS > PUREEREADY MADE MEALS",,,,
BABY FOOD,LA CESENATE CONSERVE ALIMENTARI SPA,Via Cervese 364,47023,"CESENA 
										Show on map",EMILIA ROMAGNA - Forli,ITALY,+39  0547 631150,+39  0547 382010,dircom@lacesenate.it,www.lacesenate.it,BROKER TO WHOLESALERSDISTRIBUTIONEXPORTPRODUCTION,,,,,,,,Sirs Fabrizio Rosso,"BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICESBEVERAGES - NON ALCOHOLIC > VEGETABLE SAPSCANNED FOOD > VEGETABLES, PLANTS > TOMATOESEDIBLE PREPARATIONS & SPICES > SAUCESFRUIT PRODUCTSFRUIT PRODUCTS > PUREEREADY MADE MEALS",,,,
BABY FOOD,ACHILLEA AZIENDA MONTANA,Via Barge 84/A,12034,PAESANA,PIEMONTE - Cuneo,ITALY,+39  0175 987079,+39  0175 987122,info@achillea.com,www.achillea.com,IMPORTPRODUCTIONTRADE,ICEA ISTITUTO PER LA CERTIFIC. ETICA E AMBIENTALE - Companies certified by ICEA ISTITUTO PER LA CERTIFIC. ETICA E AMBIENTALE (288),,,,,,,Mr. Bruno BOSSA,BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICESBEVERAGES - NON ALCOHOLIC > NECTAR JUICEEDIBLE PREPARATIONS & SPICES > SAUCESEDIBLE PREPARATIONS & SPICES > VINEGAR > APPLE VINEGARFRUIT PRODUCTSHONEY & HONEY PRODUCTS,FRUITHONEY & HONEY PRODUCTSNUTS,,,
BABY FOOD,ADVANCED MARKETING,"PO Box 85, Riyadh 11411",11411,RIYADH,Ar Riyad,SAUDI ARABIA,+966 1 2811424,+966 1 2822434,mkhan@ammarketeers.com,www.ammarketeers.com,BROKER TO WHOLESALERSDISTRIBUTIONIMPORTONLINESHOPPACKAGINGRETAILER,,,,,,,2006,Mr. Munawar Khan,BABY FOODCEREALSCOFFEE,BABY FOODCEREALSCOFFEE,,,
BABY FOOD,APICOLTURA CASENTINESE SRL,Via dell Artigiano 10-12,52011,BIBBIENA,TOSCANA - Arezzo,ITALY,+39  0575 536494,+39  0575 536029,info@apicolturacasentinese.com,www.apicolturacasentinese.com,EXPORTPRODUCTION,A.I.A.B. ASSOCIAZIONE ITALIANA PER L AGRICOLTURA B - Companies certified by A.I.A.B. ASSOCIAZIONE ITALIANA PER L AGRICOLTURA B (42),,,,,,,,BABY FOODHONEY & HONEY PRODUCTS,,,,
BABY FOOD,BABYNAT,Avanue Ferdinand de Lesseps,33612,CESTAS,AQUITAINE - Gironde,FRANCE,+33  557 965674,+33  557 965650,info@vitagermine.com,www.vitagermine.com,EXPORTFAIRTRADEPRODUCTION,SOIL ASSOCIATION CERTIFICATION - Companies certified by SOIL ASSOCIATION CERTIFICATION (79),,,,,,,Andrea Betine,BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICES,BABY FOODBEVERAGES - NON ALCOHOLIC > FRUIT JUICES,,,
BABY FOOD,BASIC AG LEBENSMITTELHANDEL,Schleissheimer Str. 162,80797,MUENCHEN,Bayern - Oberbayern,GERMANY,+49  89 3238470,+49  89 3066896690,info@basic-ag.de,www.basic-ag.de,RETAILER,,,,,,,,,"BABY FOODBAKERY PRODUCTS, ADDITIVESFRUITMEATMILK & DAIRY PRODUCTSSOYA AND BY - PRODUCTSVEGETABLES","BABY FOODBAKERY PRODUCTS, ADDITIVESFRUIT",,,
